id,link,title,thumbnail,time,summary,category,sub_category,full_article
20221105231721647,https://tuoitre.vn/co-bac-nup-bong-the-thao-tri-tue-poker-20221105231721647.htm,Cờ bạc núp bóng 'thể thao trí tuệ' Poker,https://cdn1.tuoitre.vn/zoom/600_315/2022/11/5/danhbai-chemat-1-1read-only-16676648492711683910485-crop-1667664925856366939655.jpg,06/11/2022 09:20 GMT+7,"TTO - Lợi dụng danh nghĩa câu lạc bộ (CLB) thể thao Bridge và Poker, chủ CLB loại hình này ở TP.HCM tổ chức cờ bạc trá hình, thu lợi số tiền khủng dưới vỏ bọc ""bộ môn thể thao trí tuệ"".",Pháp luật,,"Theo tài liệu mà phóng viên Tuổi Trẻ thu thập được, CLB River Poker Club số 27 Quốc Hương, phường Thảo Điền, TP Thủ Đức (TP.HCM) không có bộ môn thể thao trí tuệ nào. Thay vào đó, người chơi mà CLB gọi là ""vận động viên"" đều sát phạt nhau bằng môn chơi bài 52 lá Poker. Phần thưởng cho người thắng cuộc trong một ""giải đấu"" có thể lên đến cả trăm triệu đồng. Một ngày CLB này diễn ra 4 - 5 ""giải đấu"".Vào CLB chơi phải... mua chipCLB này chỉ mới hoạt động khoảng hai tháng nay nhưng thu hút nhiều người tham gia. Khi chúng tôi đến tìm hiểu vào một ngày cuối tháng 10-2022, hai nhân viên nữ đứng quầy ở cửa CLB yêu cầu chúng tôi xuất trình giấy tờ tùy thân để đăng ký thẻ hội viên mới được vào. Nữ nhân viên cho biết ở đây những người từ nơi khác đến hoặc người nước ngoài đều có thể đăng ký, vào chơi bình thường. Chúng tôi viện cớ quên mang giấy tờ thì nhân viên không cho vào và phải nhờ tới sự bảo lãnh của một người đi cùng mới ""lọt"" vào trong.Tại quầy, một thanh niên mua 900.000 đồng tiền chip bằng hình thức chuyển tiền đến số tài khoản 86889xxx mang tên N.P.V. để tham gia ""giải đấu"". Chip ở CLB này là các thẻ nhựa, tròn, có nhiều màu sắc khác nhau, in số điểm như 5.000, 1.000, 500, 100... Người chơi phải bỏ ra số tiền tương ứng để mua chip của các ""giải đấu"" như giải 1.5M (tương đương 1,5 triệu đồng), 4.5M (4,5 triệu đồng)...Thanh niên vào bàn chơi với sáu người, mỗi ván diễn ra 2 - 8 phút. Lúc này xung quanh cũng có ba bàn đang sát phạt, CLB này có tổng cộng sáu bàn chơi Poker. Khoảng 20 phút sau, người này thua sạch chip, những ""vận động viên"" khác tiếp tục chơi. Sau nhiều giờ, trên màn hình thể hiện cơ cấu giải thưởng gồm 10 giải với tổng giá trị 16,4 triệu đồng. Trong đó, người đoạt giải nhất sẽ được thưởng 4,9 triệu đồng.Theo quan sát, bàn Poker ở giữa là nhộn nhịp nhất. Bởi đây là bàn tập trung nhiều người chơi có ""máu mặt"". Bàn có bốn người chơi, trên màn hình thể hiện mức thưởng cao nhất cho người thắng hơn 90 triệu đồng. Một bàn chơi khác, sau nhiều giờ ""so tài"" bài Poker, ba thanh niên cuối cùng quyết định chia giải thưởng, mỗi người được 3,7 triệu đồng.Trên fanpage của CLB này thông báo công khai mời chào tất cả các cá nhân tham gia các ""giải đấu"" được tổ chức mỗi ngày với số tiền thưởng lên tới cả trăm triệu đồng.Thủ tục công nhận CLB ""quá dễ""Ngày 5-11, trao đổi với Tuổi Trẻ, ông Trần Phương Nam - phó chủ tịch UBND phường Thảo Điền (TP Thủ Đức) - cho biết UBND phường ra quyết định công nhận CLB River Poker Club này vào ngày 5-8. CLB này được thành lập rất đơn giản, chỉ cần dựa vào có công văn công nhận là thành viên của Hiệp hội Bridge & Poker Việt Nam. Khi về địa phương là phường Thảo Điền, CLB chỉ cần thành lập danh sách hội viên và xin công nhận của địa phương là đủ điều kiện hoạt động.Bên cạnh đó, CLB còn phải đảm bảo an toàn phòng cháy chữa cháy. Tuy nhiên từ tháng 8 đến nay, UBND phường cùng đoàn liên ngành đã kiểm tra CLB này ba lần nhưng chưa phát hiện vi phạm và đưa CLB này ""vào tầm ngắm"".Theo ghi nhận của Tuổi Trẻ chiều 5-11, đoàn liên ngành Phòng văn hóa - xã hội TP Thủ Đức, UBND phường Thảo Điền phối hợp lực lượng Công an TP Thủ Đức, Phòng cảnh sát hình sự (PC02) Công an TP.HCM kiểm tra CLB này. Qua kiểm tra, công an phát hiện 40 người (trong đó có năm người nước ngoài) đang chơi bài Poker 52 lá. Công an thu giữ nhiều chip, bộ bài... và đưa những người này về trụ sở lấy lời khai, làm rõ hành vi vi phạm pháp luật.Ông Nguyễn Nam Nhân, trưởng Phòng quản lý thể dục - thể thao của Sở Văn hóa và Thể thao TP.HCM, khẳng định hiện nay sở không cấp phép cho bất cứ CLB Poker nào ở TP.HCM tổ chức các giải thi đấu Poker, đặc biệt các CLB này không được phép thu tiền, tổ chức các giải đấu ăn tiền hoặc trao giải bằng tiền dưới mọi hình thức. Các CLB Poker do phường, xã công nhận thì chỉ những người trong nước tham gia và thực hiện theo điều lệ do UBND phường, xã quy định. ""Các CLB đội, nhóm ở phường, xã thì được thành lập, nhưng các CLB Poker tổ chức thi đấu ăn tiền và có người nước ngoài tham gia thì không phù hợp"", ông Nhân nói.Ngày 29-12-2020, Sở Văn hóa và Thể thao TP.HCM có văn bản kiến nghị UBND TP.HCM yêu cầu chủ tịch UBND các quận, huyện chỉ đạo tạm ngừng cấp phép và công nhận CLB về loại hình Bridge & Poker.Một số hình ảnh liên quan hoạt động Poker:"
20221105085518097,https://tuoitre.vn/noi-hoai-nhung-mot-ba-hai-chi-van-lot-bay-dien-thoai-mat-tien-ti-20221105085518097.htm,"Nói hoài nhưng một bà, hai chị vẫn 'lọt bẫy' điện thoại, mất tiền tỉ",https://cdn1.tuoitre.vn/zoom/600_315/2022/11/5/mao-danh-cong-an-1667612870909538613956-16676129163412022110139-crop-1667612963042530388856.png,05/11/2022 09:04 GMT+7,"TTO - Dù cơ quan chức năng tại Đà Nẵng đã nhiều lần cảnh báo, khuyến cáo về thủ đoạn lừa đảo qua điện thoại, mạng Internet. Tuy nhiên, vẫn có nhiều người ở Đà Nẵng dính bẫy và bị lừa mất tiền tỉ.",Pháp luật,,"Phòng An ninh mạng và Phòng chống tội phạm sử dụng công nghệ cao (Công an Đà Nẵng) vừa tiếp nhận trình báo của 3 phụ nữ về việc bị lừa mất hàng tỉ đồng.Trong đó, trường hợp bà T.O. (trú quận Sơn Trà, Đà Nẵng) bị lừa mất 2,1 tỉ đồng. Theo trình bày, bà O. có gửi tiền tiết kiệm tại ngân hàng với tổng số tiền 2,5 tỉ đồng. Vào chiều 24-10, bà O. nhận được điện thoại từ số máy 076…Người gọi tự xưng là ""cán bộ công an"" thông báo bà có liên quan đến vụ tai nạn giao thông. Theo yêu cầu, bà O. đã cung cấp toàn bộ thông tin cá nhân. Tiếp đó, bà đã click vào một đường link do ""cán bộ công an""  gửi và thực hiện theo hướng dẫn. Sau đó, bà O. phát hiện tài khoản của mình mất 2,1 tỉ đồng.Tương tự, chị T.H. (trú Đà Nẵng) cũng nhận được một cuộc gọi từ số 081…thông báo chị có bưu kiện gửi hàng cấm (ngà voi) từ Đà Nẵng đi nước ngoài.  Chị H. trả lời và khẳng định không liên quan thì được đối tượng lừa đảo hướng dẫn trình báo lên công an bằng cách chuyển hướng cuộc gọi.Sau khi làm theo để chứng minh mình vô can, chị H. được ""cán bộ"" yêu cầu cung cấp thông tin cá nhân để phục vụ điều tra, xác minh. Ít phút sau, ""cán bộ"" gọi lại cho chị H. và thông báo chị liên quan đường dây rửa tiền. Chị H. phải thực hiện cài đặt ứng dụng và truy cập link113... để  ""cơ quan điều tra"" chứng minh không nhận tiền từ đường dây rửa tiền. Sau khi làm theo, tài khoản của chị H. bị mất hơn 1 tỉ đồng.Một trường hợp khác là chị T.M. (trú Ngũ Hành Sơn, Đà Nẵng) cũng nhận được số điện thoại của người tự xưng là ""cán bộ công an"" nói chị nằm trong đường dây rửa tiền và mua bán ma túy. Bằng các chiêu trò, đe dọa… các đối tượng đã lừa của chị M. số tiền hơn 1,6 tỉ đồng trong tài khoản ngân hàng."
20221105083814107,https://tuoitre.vn/tong-thanh-tra-dang-thuc-hien-thanh-tra-ve-xang-dau-20221105083814107.htm,Tổng Thanh tra: Đang thực hiện thanh tra về xăng dầu,https://cdn1.tuoitre.vn/zoom/600_315/2022/11/5/202205260825345481dscf0967-16676121190241165979492-crop-1667612186830524649777.jpeg,05/11/2022 09:03 GMT+7,"TTO -  Trả lời chất vấn sáng 5-11, Tổng Thanh tra Chính phủ Đoàn Hồng Phong cho biết với tình trạng cây xăng Hà Nội và TP.HCM khan hiếm, bán hạn chế, theo chỉ đạo của Thủ tướng, hiện cơ quan thanh tra đã và đang tiến hành thanh tra đột xuất.",Pháp luật,,"Ông Đoàn Hồng Phong sẽ trả lời chất vấn về nâng cao hiệu lực, hiệu quả trong hoạt động thanh tra, kịp thời phòng ngừa, ngăn chặn vi phạm pháp luật, biện pháp xử lý, thu hồi tài sản sau thanh tra, việc xử lý đối với tập thể, cá nhân vi phạm, nhất là những nơi để xảy ra vi phạm pháp luật nghiêm trọng.Công tác tuyên truyền, giáo dục về phòng, chống tham nhũng, tiêu cực; giải pháp tăng cường phòng, chống tham nhũng, tiêu cực trong hoạt động thanh tra.Giải pháp ngăn chặn, xử lý nghiêm và thu hồi tài sản tham nhũng để tạo lòng tin trong nhân dân.Công tác phối hợp và giải pháp khắc phục chồng chéo, trùng lắp trong hoạt động thanh tra, kiểm tra, kiểm toán.Phó thủ tướng Lê Minh Khái, bộ trưởng các bộ Tài chính, Công an, Tư pháp; viện trưởng Viện Kiểm sát nhân dân tối cao, chánh án Tòa án nhân dân tối cao, tổng Kiểm toán Nhà nước sẽ được mời tham gia trả lời chất vấn, giải trình những vấn đề liên quan."
20221105074536193,https://tuoitre.vn/xe-hoi-can-chet-hai-nguoi-trong-dem-xong-chay-mat-20221105074536193.htm,Xe hơi cán chết hai người trong đêm xong chạy mất,https://cdn1.tuoitre.vn/zoom/600_315/2022/11/5/img5532-1667608738191346910611-crop-16676089627031346807732.jpeg,05/11/2022 08:30 GMT+7,"TTO - Vụ va chạm khiến xe máy ngã ra đường, hai nam thanh niên (chưa xác định được danh tính) bị xe hơi cán qua người chết tại chỗ. Sau tai nạn, tài xế lái xe hơi bỏ chạy mất.",Pháp luật,,"Rạng sáng 5-11, Phòng cảnh sát giao thông Công an tỉnh Lâm Đồng ra thông báo truy tìm người lái xe hơi gây tai nạn làm chết 2 người trên đèo Bảo Lộc.Vụ tai nạn nghiêm trọng xảy ra vào khoảng 20h ngày 4-11 trên đèo Bảo Lộc (đoạn qua khúc cua đèo Bảo Lộc, thuộc địa phận thị trấn Đạ M’ri, huyện Đạ Huoai, Lâm Đồng).Lúc ấy, 2 nam thanh niên chạy xe máy đang đổ đèo Bảo Lộc theo hướng Đà Lạt - TP.HCM. Khi đến khúc cua tay áo nói trên thì va chạm với xe hơi. Vụ va chạm khiến xe máy ngã ra đường, 2 nam thanh niên (chưa xác định được danh tính) bị ô tô cán qua người chết tại chỗ. Sau khi tai nạn xảy ra, tài xế lái xe hơi bỏ chạy mất.Tại hiện trường, bên cạnh thi thể 2 nạn nhân, nhiều mảnh vỡ của xe máy, mũ bảo hiểm và các tư trang cá nhân nằm vương vãi kéo dài hàng chục mét, có vết thắng xe hơi và vết cán qua người 2 nạn nhân.Theo nhận định ban đầu của cơ quan chức năng, nhiều khả năng xe hơi đang lên đèo Bảo Lộc theo hướng từ TP.HCM - Đà Lạt.Thời điểm tai nạn xảy ra, trên đèo Bảo Lộc có mưa lớn khiến đường trơn trượt.Ngay trong đêm, các lực lượng nghiệp vụ công an triển khai các biện pháp truy tìm chiếc gây tai nạn."
20221105075130123,https://tuoitre.vn/phai-thu-hoi-toi-da-tai-san-tham-nhung-20221105075130123.htm,Phải thu hồi tối đa tài sản tham nhũng,https://cdn1.tuoitre.vn/zoom/600_315/2022/11/5/pham-van-hoa-dong-thap-202211041343545209-1read-only-16676092896771109185250-crop-1667609838507133347390.jpg,05/11/2022 08:13 GMT+7,"TTO - Hôm nay 5-11, Tổng Thanh tra Chính phủ là thành viên thứ tư tham gia trả lời chất vấn. Các nội dung liên quan thu hồi tài sản tham nhũng, cần phát hiện sớm sai phạm... đã nhận được nhiều sự quan tâm của đại biểu.",Pháp luật,,"Tuổi Trẻ lược ghi ý kiến của một số đại biểu mong muốn được chất vấn Tổng Thanh tra Chính phủ.* Đại biểu PHẠM VĂN HÒA (Đồng Tháp):Có hay không việc ""bao che"", ""làm ngơ""?Lĩnh vực thanh tra được rất nhiều đại biểu Quốc hội và cử tri cả nước quan tâm. Nhất là việc thanh tra phải làm sao góp phần tích cực cho việc chống tiêu cực, lãng phí và thu hồi được tài sản tham nhũng do đối tượng tham nhũng gây ra. Năm 2022 thu hồi tài sản tham nhũng có tiến bộ nhưng tỉ lệ vẫn đạt thấp.Chính trong báo cáo gửi đến đại biểu Quốc hội về một số nội dung liên quan đến chất vấn tại kỳ họp, Tổng Thanh tra Chính phủ cũng cho biết mặc dù kết quả thu hồi tài sản tham nhũng năm sau cao hơn năm trước, song việc thu hồi tài sản do tham nhũng vẫn đạt tỉ lệ thấp. Đây là một trong những hạn chế trong công tác phòng chống tham nhũng của nước ta hiện nay. Do đó, nội dung này có lẽ sẽ được các đại biểu rất quan tâm và chất vấn.Thực tế cũng có câu chuyện thanh tra trước không phát hiện tiêu cực nhưng thanh tra sau lại phát hiện. Hay thanh tra trước làm đúng quy trình phát hiện sai phạm song lại ""giơ cao đánh khẽ"" hay ""phớt lờ"", ""có nội dung cần thanh tra thì cố tình làm ngơ, cố tình bao che"" để sai phạm đó tồn tại, đến hiện nay khi thanh tra lại thì phát hiện. Với những câu chuyện này, việc xử lý đoàn thanh tra trước, đặc biệt là trưởng đoàn thanh tra ra sao? Điều này cần Tổng Thanh tra Chính phủ trả lời rõ để đảm bảo việc thanh tra của Nhà nước là công bằng, hợp lý, vô tư và không tiêu cực.* Đại biểu TRỊNH XUÂN AN (ủy viên chuyên trách Ủy ban Quốc phòng - An ninh):Phát hiện sớm sẽ hạn chế hậu quả lớnTrong giai đoạn hiện nay, vai trò của cơ quan thanh tra trong đấu tranh phòng chống tham nhũng có ý nghĩa rất lớn. Trước khi xử lý các việc vi phạm pháp luật, công tác thanh tra, kiểm tra phải được đặc biệt quan tâm. Nếu thanh tra làm tốt, phát hiện ngay từ đầu những sai phạm để nhắc nhở, hướng dẫn, chấn chỉnh sẽ hạn chế được những hậu quả lớn về sau, không phải xử lý nặng hơn.Với quyền hành được giao, công tác thanh tra cần thực thi hiệu quả và nỗ lực hơn nữa. Cử tri và các đại biểu chắc chắn mong được nghe Tổng Thanh tra Chính phủ nêu ra những giải pháp cụ thể để thanh tra làm tốt hơn nữa việc phát hiện sớm sai phạm, vi phạm.* Đại biểu HỒ THỊ MINH (Quảng Trị):Xử lý nghiêm tổ chức, cá nhân sai phạmViệc xử lý nghiêm, thu hồi tài sản tham nhũng trong công tác thanh tra sẽ tạo niềm tin cho nhân dân. Thời gian qua có rất nhiều vụ việc bị phát hiện nhờ công tác thanh tra, kiểm tra chỉ ra hạn chế khuyết điểm của cơ quan đơn vị, doanh nghiệp trong quản lý, thực hiện nhiệm vụ. Vai trò của thanh tra, kiểm tra cũng ngày càng được nâng lên. Quốc hội cũng đã có đề xuất cán bộ, công chức, viên chức trong lĩnh vực thanh tra được hưởng lương và đãi ngộ riêng để thực thi công việc một cách công minh, khách quan nhất.Thực tế đã khá lâu, từ Quốc hội khóa XIV đến nay, nội dung trong lĩnh vực thanh tra mới lại được đưa vào nhóm chất vấn, trả lời chất vấn. Với lần trả lời này của Tổng Thanh tra Chính phủ, chắc chắn nghị trường có thể sẽ ""nóng"" hơn khi nhắc tới các vụ việc, đại án vừa qua được triệt phá, trong đó có một phần vai trò của cơ quan thanh tra.Tuy nhiên, vấn đề thu hồi tài sản vẫn còn thấp. Do vậy, cử tri trên cả nước mong muốn việc thu hồi được tài sản thất thoát phải được thực hiện triệt để, đồng thời phải xử lý nghiêm túc, đúng pháp luật đối với những tổ chức, cá nhân trong quá trình thanh tra phát hiện sai phạm."
20221104215611375,https://tuoitre.vn/truy-duoi-hon-10km-bat-hai-nghi-pham-lien-tiep-trom-cap-nhieu-xe-may-20221104215611375.htm,Truy đuổi hơn 10km bắt hai nghi phạm liên tiếp trộm cắp nhiều xe máy,https://cdn1.tuoitre.vn/zoom/600_315/2022/11/4/nguyenhung-1667573685254561714767-crop-16675737145361525029053.jpg,04/11/2022 22:24 GMT+7,"TTO - Bị phát hiện, hai nghi phạm trộm cắp rồ ga bỏ chạy ra quốc lộ 14. Ngay lập tức, lực lượng phòng chống tội phạm bám theo và bắt được cả hai sau hơn 10km truy đuổi.",Pháp luật,,"Tối 4-11, Đội phòng chống tội phạm TP Đồng Xoài (tỉnh Bình Phước) cho hay vừa phối hợp lực lượng công an bắt Nguyễn Đình Thuận (31 tuổi) và Nguyễn Hưng (17 tuổi, cùng huyện Phú Riềng) để điều tra về hành vi trộm cắp tài sản.  Thông tin ban đầu, khoảng 14h chiều cùng ngày, Đội phòng chống tội phạm TP Đồng Xoài ""dạo quanh"" khu vực phường Tân Xuân. Khi đến đường Nguyễn Huệ (đoạn thuộc khu phố Tân Trà, phường Tân Xuân) thì phát hiện Thuận và Hưng chạy hai xe máy có dấu hiệu khả nghi nên theo dõi.Thấy bị phát hiện, Thuận và Hưng rồ ga tăng tốc bỏ chạy ra quốc lộ 14, hướng về huyện Đồng Phú. Ngay lập tức, thành viên Đội phòng chống tội phạm đuổi theo, đồng thời gọi lực lượng công an hỗ trợ.  Sau hơn 10km truy đuổi, lực lượng chức năng kịp áp sát, khống chế cả hai tại khu vực km9 (thuộc xã Đồng Tiến, huyện Đồng Phú).  Bước đầu, các nghi phạm khai hai chiếc xe máy là tang vật vừa trộm được ở khu vực bến xe Bình Phước (khu phố Tân Trà). Ngoài ra, Thuận và Hưng khai sáng cùng ngày đã trộm thành công một xe máy khác ở thị xã Phước Long."
20221104215120358,https://tuoitre.vn/dieu-tra-vu-no-xe-hoi-o-cu-chi-tai-xe-bi-thuong-nang-phai-cap-cuu-20221104215120358.htm,"Điều tra vụ nổ xe hơi ở Củ Chi, tài xế bị thương nặng phải cấp cứu",https://cdn1.tuoitre.vn/zoom/600_315/2022/11/4/anh-01-1667573120847952029739-crop-1667573219714687993169.jpg,04/11/2022 21:58 GMT+7,"TTO - Tối 4-11, nguồn tin của Tuổi Trẻ Online cho biết cơ quan chức năng đang điều tra làm rõ nguyên nhân vụ nổ ô tô xảy ra ở xã Trung Lập Hạ (huyện Củ Chi, TP.HCM). Trong vụ việc trên có một người bị thương nặng được đưa đến bệnh viện cấp cứu.",Pháp luật,,"Theo thông tin ban đầu, vụ nổ ô tô xảy ra vào chiều ngày 4-11 tại địa bàn xã Trung Lập Hạ (huyện Củ Chi, TP.HCM). Sau vụ nổ, tài xế ô tô trên bị thương nặng được đưa đến bệnh viện cấp cứu. Nhận tin báo, Công an huyện Củ Chi đã phối hợp với các đơn vị chức năng liên quan khám nghiệm hiện trường, điều tra nguyên nhân vụ việc."
20221104195522464,https://tuoitre.vn/bat-chuyen-vien-ngan-hang-chiem-doat-tren-13-ti-dong-cua-dong-nghiep-20221104195522464.htm,Bắt chuyên viên ngân hàng chiếm đoạt trên 13 tỉ đồng của đồng nghiệp,https://cdn1.tuoitre.vn/zoom/600_315/2022/11/4/doi-tuong-hien-1-166756626223537351965-crop-16675663302211607583896.jpg,04/11/2022 21:53 GMT+7,"TTO - Lợi dụng mối quan hệ quen biết với nhiều người, người phụ nữ ở Cà Mau vay tiền đáo hạn ngân hàng, chiếm đoạt của đồng nghiệp trên 13 tỉ đồng.",Pháp luật,,"Tối 4-11, thông tin từ Cơ quan cảnh sát điều tra Công an tỉnh Cà Mau cho biết đã khởi tố vụ án và bắt tạm giam Đinh Thị Thu Hiền (34 tuổi, ngụ xã Lý Văn Lâm, TP Cà Mau) để điều tra về hành vi ""lừa đảo chiếm đoạt tài sản"".Lực lượng làm nhiệm vụ cũng tiến hành khám xét nơi ở của Hiền để thu thập các tài liệu, chứng cứ phục vụ điều tra.Theo thông tin điều tra ban đầu, do không có tiền để trả các khoản vay trước đó, Hiền vay tiền của đồng nghiệp là anh K. để trả nợ. Khi vay tiền, Hiền nói mình là chuyên viên tín dụng của một ngân hàng có chi nhánh tại TP Cà Mau, có mối quan hệ quen biết nên huy động tiền để cho khách vay lại đáo hạn ngân hàng, sẽ trả lãi cho anh K.Thời gian đầu, Hiền trả đúng kỳ hạn, tạo được sự tin tưởng từ người cho vay. Từ đó, anh K. đã huy động nguồn tiền từ người thân, bạn bè đưa cho Hiền vay để 'cho khách hàng vay đáo hạn ngân hàng'.Bằng thủ đoạn này, Hiền đã vay của anh K. theo chu kỳ đáo hạn và duy trì việc trả nợ tiền gốc, lãi xoay vòng để không bị phát hiện.Khi vay được tiền, Hiền không sử dụng vào việc đáo hạn ngân hàng mà đem trả nợ cho những người Hiền đã vay trước đó. Riêng anh K., từ 28-10-2021 đến 16-12-2021, Hiền vay của anh K. tổng cộng 13 lần với số tiền trên 13 tỉ đồng.Đến tháng 1-2022, mất khả năng chi trả tiền gốc và lãi nên Hiền tránh mặt anh K., xin nghỉ việc và chiếm đoạt số tiền đã vay."
20221104181225907,https://tuoitre.vn/hen-gap-noi-chuyen-thanh-nien-dam-dao-vao-nguc-doi-phuong-20221104181225907.htm,"Hẹn ‘gặp nói chuyện’, thanh niên đâm dao vào ngực đối phương",https://cdn1.tuoitre.vn/zoom/600_315/2022/11/4/20221104-dang-phu-giacs-1667560022686192391063-crop-1667560091892238873645.jpg,04/11/2022 19:06 GMT+7,"TTO - Do mâu thuẫn từ trước, hai thanh niên ở Phú Yên hẹn gặp nhau để ‘nói chuyện’ nhưng lại đánh nhau. Hậu quả, một người bị đâm vào ngực, người còn lại bị khởi tố tội ""giết người"".",Pháp luật,,"Chiều 4-11, lãnh đạo Cơ quan cảnh sát điều tra Công an tỉnh Phú Yên cho biết cùng ngày đã khởi tố vụ án, khởi tố bị can và thực hiện lệnh bắt tạm giam đối với Đặng Phú Gia (23 tuổi, ở xã Hòa Tâm, thị xã Đông Hòa, tỉnh Phú Yên) để điều tra tội ""giết người"".Theo điều tra ban đầu, do có mâu thuẫn từ trước, khoảng 12h ngày 3-11, Trịnh Gia Hữu (23 tuổi, ở xã Hòa An, huyện Phú Hòa, tỉnh Phú Yên) điện thoại cho Gia (đang tạm trú tại xã Hòa An) ra đường để nói chuyện.  Sợ bị Hữu đánh, trước khi đi, Gia lấy một con dao gọt trái cây bỏ vào túi quần. Khi gặp nhau, Hữu cho rằng Gia ""láo"" và dùng mũ bảo hiểm đánh nhiều cái vào người Gia. Gia rút con dao mang theo đâm vào ngực phải của Hữu rồi bỏ đi.  Hữu được người dân đưa đi cấp cứu tại Bệnh viện Đa khoa tỉnh Phú Yên, đến chiều 4-11 đã qua nguy kịch. Còn Gia, lúc 16h35 ngày 3-11 đã đến cơ quan chức năng đầu thú.  Cơ quan điều tra cho hay Gia đã khai nhận hành vi phạm tội. Hành vi này đủ yếu tố cấu thành tội ""giết người"" quy định tại khoản 1 điều 123 Bộ luật hình sự."
20221104172534389,https://tuoitre.vn/truy-to-13-bi-can-vu-sai-pham-o-du-an-bt-truong-chinh-tri-tinh-khanh-hoa-20221104172534389.htm,Truy tố 13 bị can vụ sai phạm ở dự án BT Trường Chính trị tỉnh Khánh Hòa,https://cdn1.tuoitre.vn/zoom/600_315/2022/11/4/20221104-gold-coast-1667557331581789033476-crop-16675573559231190837588.jpg,04/11/2022 18:43 GMT+7,"TTO - Chiều 4-11, nguồn tin của Tuổi Trẻ Online cho hay cùng ngày, cơ quan chức năng đã tống đạt cáo trạng của Viện KSND tỉnh Khánh Hòa truy tố 13 bị can trong vụ án sai phạm ở dự án BT Trường Chính trị tỉnh Khánh Hòa.",Pháp luật,,"13 bị can gồm Nguyễn Chiến Thắng - cựu chủ tịch UBND tỉnh, Lê Đức Vinh - cựu phó chủ tịch và cựu chủ tịch UBND tỉnh, Đào Công Thiên - cựu phó chủ tịch UBND tỉnh, Võ Tấn Thái - cựu giám đốc Sở Kế hoạch và Đầu tư, Sở Tài nguyên và Môi trường, Lê Văn Dẽ - cựu giám đốc Sở Xây dựng;Trần Văn Thọ - cựu phó giám đốc Sở Xây dựng (khi phạm tội là giám đốc Ban Quản lý dự án đầu tư xây dựng dân dụng và công nghiệp tỉnh); Nguyễn Ngọc Tâm - cựu phó giám đốc Sở Tài chính, cựu phó chủ tịch thường trực Hội đồng thẩm định giá đất tỉnh, cựu chủ tịch Hội đồng định giá đất và nhà thuộc sở hữu nhà nước tỉnh;Vũ Xuân Thiềng - cựu phó giám đốc Sở Tài nguyên và Môi trường, cựu phó chủ tịch Hội đồng thẩm định giá đất; Nguyễn Văn Nhựt - cựu phó giám đốc Sở Kế hoạch và Đầu tư, Trần Quang Bửu - cựu phó giám đốc Sở Xây dựng, Trần Sỹ Quân - cựu phó cục trưởng Cục Thuế tỉnh;Lê Huy Toàn - cựu phó chủ tịch UBND TP Nha Trang và Nguyễn Ngọc Tuấn - cựu phó phòng phụ trách phòng vật giá công sản thuộc Sở Tài chính, cựu tổ trưởng tổ giúp việc của Hội đồng thẩm định giá đất tỉnh Khánh Hòa.Theo hồ sơ vụ án, từ năm 2011 đến năm 2015, UBND tỉnh Khánh Hòa thực hiện các thủ tục và triển khai đầu tư dự án xây dựng Trường Chính trị Khánh Hòa mới tại khu Bắc Hòn Ông (xã Phước Đồng, TP Nha Trang) theo hình thức hợp đồng BT với Công ty TNHH Hoàn Cầu (sau đó chuyển giao toàn bộ quyền và nghĩa vụ cho Công ty CP Thanh Yến). Nguồn vốn hoàn trả cho nhà đầu tư là được khai thác quỹ đất có diện tích 7.388,9m2 đất của Trường Chính trị Khánh Hòa lúc bấy giờ tại 01 Trần Hưng Đạo (phường Lộc Thọ, TP Nha Trang). Cáo trạng nêu trong quá trình thực hiện các dự án nêu trên, 13 bị can đã có nhiều sai phạm trong việc chỉ định nhà đầu tư đàm phán trực tiếp hợp đồng BT mà không tổ chức đấu thầu để lựa chọn nhà đầu tư; không tổ chức đấu giá quyền sử dụng đất đối với đất được quy hoạch là đất trụ sở cơ quan, công trình sự nghiệp nhà nước; cấp giấy chứng nhận đầu tư, thực hiện thỏa thuận và điều chỉnh phương án kiến trúc quy hoạch dự án Nha Trang Center 2 tại khu đất số 01 đường Trần Hưng Đạo; xác định giá trị quyền sử dụng đất thực hiện dự án BT và cấp giấy phép xây dựng không đúng với quy hoạch sử dụng đất của TP Nha Trang; trong việc quyết định giao đất, cho thuê đất, cấp giấy chứng nhận quyền sử dụng đất; bán tài sản trên đất.  Hành vi của 13 bị can đã gây thất thoát tài sản nhà nước tại thời điểm ngày 15-2-2016 là hơn 62,6 tỉ đồng, tại thời điểm ngày 5-10-2020 là hơn 324,5 tỉ đồng.  Trước đó, do ""vi phạm các quy định về quản lý đất đai"" khi cho triển khai các dự án trên núi Chín Khúc, các ông Thắng, Vinh, Thiên, Thái, Dẽ đã bị tuyên án tù và hiện đang chấp hành án."
